web-scraper-order,titre_poste,url,ref_offre,intitule_poste,descri_mission,profil
1720689594-14,Chargé de mission économie d'eau H/F,Chargé de mission économie d'eau H/F,Réf. : 2024-9319,Chargé de mission économie d'eau H/F,"Rattaché.e à la responsable du service Animation qui comprend 3 agents, vous assurez la mise en œuvre du programme d’économies d’eau consommée. 
Vos missions:
En lien avec la responsable de service, vous assurez la mise en œuvre et le suivi des opérations dans le cadre du programme d’économies d’eau consommée auprès des services communaux et métropolitains et des acteurs publics associés :Assurer le pilotage des prestataires en charge des audits détaillés sur les consommations d’eau dans les bâtimentsRéaliser des pré-diagnostics de consommation en eau des équipements des services publics permettant de préconiser des actions de réduction effective des consommationsAccompagner la mise en œuvre des actions de réduction des consommations d’eau sur le territoire métropolitain (appui technique, montage de dossiers)Assurer le suivi technique, administratif et financier du programme (programmation budgétaire, suivi financier des marchés, subventions)Développer des outils partagés (formation, bonnes pratiques,...) et de la communication sur la thématique des économies d’eau pour les acteurs du programmeDévelopper des actions de sensibilisation aux économies d’eau auprès des usagers de la métropole","Vous avez une première expérience sur des fonctions similaires à l’offre détaillée ci-dessus, que vous avez de réelles compétences dans le domaine de la gestion de l’eau / économies d’eau et que vous maîtrisez les outils bureautiques, alors ce poste est fait pour vous.Vous avez déjà eu l’occasion de faire de la gestion de projets.Doté.e d’un bon relationnel, vous développez une curiosité pour les évolutions technologiques liées aux métiers de l’eau. Votre esprit d’initiative, votre capacité d’analyse et votre rigueur vous permettront de mener à bien les missions qui vous seront confiées.Des connaissances sur les techniques de sensibilisation et de communication serait un plus.Poste à pourvoir dans le cadre d'un remplacement suite à un arrêt de travail pour une durée couvrant la totalité de l'absence.Poste basé : 53 chaussée de la Madeleine, NANTES"
1720689594-149,Chargé de logistique et démarche qualité H/F,Chargé de logistique et démarche qualité H/F,Réf. : 2024-10434,Chargé de logistique et démarche qualité H/F,"Vous assurez la gestion du patrimoine immobilier :être référent.e immobilier du pôle de proximité,assurer la gestion des demandes d’interventions auprès des services en charges du bâti,assurer la planification des activités d’un agent en charge des comptages routiers et de la logistique nécessaires à l’habillement (EPI), assurer le suivi du parc roulant et matériels du pôle avec l’aide d’un agent de maîtrise référent véhicules,instruire les DICT pour l’ensemble des services du pôle,être référent.e qualité du pôle dans la démarche de certification du nettoiementEn suppléance, vous gérez le matériel et l'outillage :mettre à jour des tableaux d'inventaire des matériels et de l'outillagemettre à jour des tableaux de suivi d'entretien des matérielssuivre le planning des contrôles techniques","Vous avez des connaissances dans les domaines de la voirie, des réseaux divers et du nettoiement, ainsi que des règles d’hygiène et de sécurité. Vous maîtrisez les outils bureautiques. Doté·e de bonnes qualités relationnelles, vous appréciez le travail en équipe et en transversalité et vous êtes reconnu·e pour votre sens de l’organisation et votre capacité à prendre des initiatives et à être autonome."
1720689614-15,Responsable d'établissement Multi accueil petite enfance H/F,Responsable d'établissement Multi accueil petite enfance H/F,Réf. : 2024-9990,Responsable d'établissement Multi accueil petite enfance H/F,"Sous la responsabilité de la Directrice Petite Enfance et d'un Responsable de Territoire, vous assurez le management opérationnel d’un établissement petite enfance et en pilotez l’offre de service, la gestion des ressources humaines, la gestion administrative et budgétaire et l’application des règles d’hygiène et de sécurité. 
Vous conduisez l’activité de l’établissement et définissez le projet éducatif et social du multi-accueil dans le cadre des orientations de la politique publique petite enfance et dans le respect des objectifs institutionnels.     Vous vous impliquez dans la mise en œuvre de la politique sociale de la ville en ayant notamment une attention particulière à l'entrée des familles en situation d'insertion sociale et professionnelle. 
Vous définissez les conditions d'un accueil adapté aux besoins des enfants et de leurs familles. Vous animez des équipes de proximité et de personnels éducatifs et techniques, Vous gérez l'activité de l'établissement en optimisant une offre de service qui peut comporter de l'accueil régulier et/ou occasionnel et/ou d'urgence.","Vous êtes intéressé·e par la définition et la mise en œuvre d’une politique publique de la Petite Enfance sur un territoire,Vous souhaitez vous investir dans la gestion d’établissement, et de développement de partenariats.Vous disposez d’une expérience managériale probante. Vous présentez des qualités de gestion de situations sensibles et vous souhaitez vous inscrire dans une dynamique d’équipe pluridisciplinaire.Vous êtes titulaire d’un diplôme d’État de Puériculteur·rice ou d’Educateur·rice de jeunes enfants avec expérience de 3 ans requise."
1720689614-150,Technicien de collecte biodéchets H/F,Technicien de collecte biodéchets H/F,Réf. : 2024-10384,Technicien de collecte biodéchets H/F,"En lien avec le chef de projet biodéchets, vous participez au déploiement du tri à la source des déchets alimentaires et assurer le suivi opérationnel du projet, en lien avec les services concerné.Vos missions sont les suivantes:Coordination terrain des actions dans le cadre du déploiement de la collecte des déchets alimentaires à NantesSuivis réguliers des nouvelles collectes de déchets alimentaires, réalisées en régieEn lien avec les pôles de proximité et les services de la direction, suivis réguliers des prestataires intervenant sur le projet : nettoyage des points de collecte, campagne d’information et de distribution de seaux à compost en porte à porte, animations sur le quartier, etc...Appui aux référents déchets et chargés de proximité OPC pour assurer le lien avec les relais de proximité et les institutions du quartier : bailleur, syndics, associations, université, CROUS, …Participation à l’évaluation du dispositif de collecte séparée des déchets alimentaires, à partir :des indicateurs quantitatifs et qualitatifsReporting auprès des cadres et agents de l’opérateur de collecte et de l’équipe projetParticipation à l’étude de la mise en place du tri des déchets alimentaires sur le centre ville de Nantes et à l’étude ORGAliM (AURAN) et plus globalement aux réflexions portant sur la mise en place du tri des déchets alimentaires hors Nantes et suivi opérationnel du déploiementParticipation à la vie du réseau Compostplus : réunions techniques, voyages d’étude, webinaires, ...Intègrer à ses activités les attentes de la certification qualité, sécurité et environnement","Vous avez la connaissance du fonctionnement des collectivités territorialesVous avez la connaissance du fonctionnement des marchés publicsVous avez la connaissance des techniques d'animation de réunionsVous avez la connaissance sur la gestion des déchetsVous avez la connaissance des référentiels qualité (ISO 9001), sécurité (normes, recommandations…) et environnement (ISO 14 001)Vous avez la maîtrise de la réglementation relative aux conditions de travail applicable à la fonction publique territorialeVous avez la maîtrise des outils informatiques"
1720689634-16,Agent.e de maintenance voirie verte H/F,Agent.e de maintenance voirie verte H/F,Réf. : 2024-10029,Agent.e de maintenance voirie verte H/F,"Sous la responsabilité de l’agent de maîtrise, l’agent sera en charge des travaux d’entretien manuel de la voirie verte ; suivi et entretien du réseau hydraulique, entretien des accotements routiers, délaissés de voirie, glissière de sécurité, bassin d’orage, ouvrage d’art...Travaux d’entretien manuel (débroussaillage, désobstruction des entrées de buses,
tronçonnage…)Ramassage et évacuation des déchets vertsRamassage et tri des déchets préalablement aux opérations de fauchage, d’entretiens des
accotements, des travaux de curage, etc...Réalisation des travaux préalable aux opérations de fauchage et de curageDésobstruction des entrées de buses suite aux travaux de curageTransport et manutention de matériels et matériauxMise en place et repli des dispositifs de signalisation temporaire de chantierEntretien des véhicules et du matérielsSurveillance du domaine public, rôle d’alerte, d’information et de constat de toute anomalieRenfort des équipes voirie, signalisation et manifestations","Vous avez les connaissance en gestion différenciée et biodiversitéVous avez la connaissance de la réglementation de la signalisation temporaire routièreVous avez la connaissance des procédures d’interventions sur le domaine publicVous avez la connaissance sur la maintenance du matérielVous avez la connaissance des règles d’hygiènes et sécurité notamment sur les chantiers et à proximité des réseaux aériens et souterrainsVous avez le permis B, le permis EC serait apprécié"
1720689634-151,Accompagnant Educatif Petite Enfance H/F,Accompagnant Educatif Petite Enfance H/F,Réf. : 2024-10327,Accompagnant Educatif Petite Enfance H/F,"Assurer, en binôme, l’ouverture et la fermeture du multi-accueil:
Ouvrir ou fermer les accès
Mettre en place ou ranger la salle d’activités, aérer les différentes pièces,...Accueillir l'enfant et sa famille:
Effectuer les temps de familiarisation pour les nouveaux arrivés, assurer les transmissions et effectuer le compte rendu de la journée, compléter la fiche de transmission, recueillir les demandes de la famille, accueillir l'enfant et sa famille, établir une relation de confiance, participer aux rencontres avec les parents.Accompagner les enfants à l’autonomie et les observer dans les temps d'éveil et d'activités, pour s’adapter à leurs besoins individuels :
Proposer, organiser (ex : décloisonnement) et encadrer des activités ou des ateliers (manipulation, pâte à modeler,…), aménager les espaces de vie pour favoriser le jeu, accompagner les enfants dans leur autonomie
Observer et écouter l’enfant, et assurer la transmission des observations (notamment pour les partenaires). Adapter les propositions aux besoins de l’enfant.Répondre aux besoins de l’enfant lors des soins d'hygiène, des repas et de
l’accompagnement au sommeil ainsi que les soins médicaux quotidien:
Administrer les traitements et/ou soins médicaux dont certains techniques (sur ordonnance et après la validation du cadre.)Participer à la vie d'équipe : recevoir et partager l'information et participer à des projets éducatifs:
Favoriser la communication avec ses collègues (transmissions orales et écrites en lien avec l’enfant et
l’organisation de journée).
Participer activement aux réunions d’équipe.
Échanger sur des situations spécifiques, remonter les difficultés rencontrées et être en alerte sur des situations d’urgence et/ou de maltraitance.
Participer aux réflexions collectives et à la construction de projets d’animation en faveur des enfants et de leurs familles.
Participer à des groupes de travail à thématiques diversesMettre en œuvre des activités par délégation (en fonction de l'organisation de chaque multi accueil)En fonction de l’organisation de chaque multi accueil, et en lien avec son.sa responsable, assurer certaines activités administrativesSe former et s'informer sur l’évolution de sa pratique professionnelleFormer et accompagner les nouveaux.elles collègues Accompagnant.e Educatif.ve Petite Enfance (AEPE)Accueillir et former les nouveaux agents AEPE dans leur montée en compétences, accompagner les stagiairesVeiller à la bonne application de la charte hygiène et des recommandations environnementalesAssurer la liaison froide et les activités d’hygiène (en remplacement des AEMA et en fonction de l'organisation du multi-accueil)Travailler au quotidien, en lien avec les équipes techniquesOrganiser les activités techniques de nettoyage des éléments pédagogiques (en fonction de l'organisation du multi-accueil)","Vous devez être titulaire du  diplôme du CAP accompagnement éducatif petite enfance. En l'absence de transmission du diplôme, la candidature ne pourra pas être étudiée.Vous maîtrisez l’accompagnement au développement physique, moteur et affectif du jeune enfant de 0 à 3 ans et vous savez mettre en œuvre des activités adaptées à l’âge des enfants accueillis.Vous possédez les techniques d’hygiène corporelle et de soin (toilette, change, habillement, alimentation, acquisition de la propreté…) et vous connaissez les règles d’hygiène générale des locaux et des principes de base de la méthode (HACCP).Vous aimez le travail en équipe et vous faites preuve de discrétion et de patience.  Ces missions vous intéressent, rejoignez nous !"
1720689654-17,Responsable qualité H/F,Responsable qualité H/F,Réf. : 2024-10031,Responsable qualité H/F,"Rattaché.e à la Direction de l'Inclusion Sociale, votre mission principale sera l'expertise de ressource sur la démarche qualité assurée de manière transversale. Vos activités principales seront :Structurer une démarche qualité à l'échelle de l'ensemble de la direction de l'inclusion sociale : méthode, outils, planification.Structurer l'analyse et le reporting de l'activité en lien avec la direction d'appui et de coordination du département prévention et solidarités.Être une ressource pour les services et pôles de la direction.Pilote, anime et contribue aux groupes de travail et/ou instances internes liées aux démarches qualités pour faire évoluer l'offre de service de la DIS afin de favoriser la transversalité interne et contribuer à la dynamique partenariale. (exemples : fracture numérique des agents, gestion de crise).",Les savoirs :Connaissance des outils de suivi et d'analyse des activitésConnaissance des activités de la délivrance des aides à l'hébergementLes savoir-faire :Bonne capacité d'analyse et synthèseAutonomeForce de propositionCapacités d'écoute et d'analyse des besoinsCapacités à structurer et modéliser les besoinsA l'écoute
1720689654-152,Référent assainissement H/F,Référent assainissement H/F,Réf. : 2024-10176,Référent assainissement H/F,"Sous l’autorité de la Responsable d’unité services urbains, vous représentez localement l’autorité organisatrice (Direction du Cycle de l’Eau) et êtes garant.e de la mise en œuvre des activités confiées au pôle de proximité dans le champ de la politique assainissementDans ce cadre, vous encadrez 2 agents « assainissement » (1 technicien et 1 agent de maîtrise). Vous suivez et contrôlez les prestations d’exploitation réalisées par les opérateurs d’assainissement. Vous assurez la conduite d’opérations de travaux d’extension, de rénovation et de réparation de réseaux, d’assainissement attachés à des opérations de voirie sur le territoire du pôle. Vous réalisez les études et élaborez les dossiers techniques (métrés, plans, solutions techniques, estimation financière, rédaction du cahier des charge et analyse des offres…)Vous veillez dans l’instruction (des permis de construire, certificat d’urbanisme, permis d’aménager, des opérations d’aménagement et des demandes d’autorisation du droit des sol, à l’application des préconisations techniques édictées par Nantes Métropole sur le volet assainissement.Vous apportez conseil et information aux usagers et communes en matière d’assainissement et assurez le traitement des réclamations.Enfin, vous participez à des astreintes sécurité routière (3/4 par an).","Vous possédez de solides compétences techniques en assainissement et en voirie réseaux divers (VRD). Vous maîtrisez les outils bureautiques courants. Vous disposez d’une expérience en conduite de projets et êtes sensible au enjeux environnementaux. Possédant une expérience managériale reconnue ou de réelles aptitudes, vous avez un bon sens relationnel, appréciez le travail en équipe et en transversalité. Une connaissance de la comptabilité publique et des règles budgétaires serait appréciée."
1720689674-18,Agent de signalisation peintre H/F,Agent de signalisation peintre H/F,Réf. : 2024-10095,Agent de signalisation peintre H/F,"Un agent de signalisation peintre routier assure l'entretien et la rénovation de la signalisation verticale et horizontale du pôle.Effectue la pose de la signalisation verticale (scellement, montage, démontage tous panneaux et mobiliers urbains). Il met en place des dispositifs de signalisation temporaire.Réalise des travaux de rénovation de signalisation horizontale (peinture routière, résine).Assure la mise en place de petits travaux de voirie liés à la mise en place de signalisation verticale.Assiste l'agent de maîtrise sur la gestion de stock, sur les lettrages de panneaux.",Vous avez la connaissance des techniques de signalisation routièreVous avez la connaissance de la règlementation en matière de signalisation routière (permanente et temporaire)
1720689674-153,Magasinier.ière / jardinier.ière H/F,Magasinier.ière / jardinier.ière H/F,Réf. : 2024-10388,Magasinier.ière / jardinier.ière H/F,"Vos activités: Cadre d’emplois des adjoints techniques territoriaux Rattaché·e au·à la responsable d'équipe magasin; vous êtes en charge de la préparation des commandes & remise aux clients du matériel événementiel ainsi que de l'entretien des espaces extérieurs et pose de calicots.Vos activités:Préparer les commandes et remettre les matériels-mobiliersAccueil des clients, aider au chargement et déchargement, manuellement et / ou au moyen d’engins de manutention et de levage, des véhicules du service et des clients externes (sous la responsabilité des conducteurs).
Préparation les commandes & remise aux clients 
Réceptionner et contrôler le matériel mobilier en retour de prêt (quantitatif et qualitatif)
Réceptionner en cas d’absence des électriciens, le matériel électrique (comptage et état visuel du matériel).
Réceptionner et contrôler le matériel mobilier en retour de prêt (quantitatif et qualitatif)
Valider les bons de sortie
Mets à jour le stock sur locasyst
Remonter l’information vers l’encadrement
Classer, ranger et nettoyer le matériel, le mobilier et le magasin.
Participer à l’inventaire annuel du magasinRéparer le mobilier évènementiel 
 Remplacement de pièces usagées ou défectueuses sur les équipements et marquage 
Entretien des espaces extérieurs de la DAEELEEntretien des espaces verts
 Nettoyage des espaces extérieurs
Veiller au rangement sur le parc
Veiller au respect du règlement intérieur (stationnements, déchetterie interne…
Déneiger des cheminements piétons sur le parc 
Mise en place de la signalétique (calicots) :Monter et/ou démonter les calicots sur le territoire de la ville de Nantes
Entretenir les supports (entretien de premier niveau: graissage, petits nettoyages des supports). 
Repérer les dysfonctionnements et faire les demandes de réparation 
Faciliter l’intégration des personnels, notamment les renforts saisonniersAccueil des saisonniers
Participation aux formations sur le montage
Transfert de connaissances, aide et conseils
 
Intègrer à ses activités les attentes de la certification qualité, sécurité et environnement","Vous justifiez d’une expérience professionnelle confirmée dans les métiers de la logistique (gestion de stock et livraison) et disposez de connaissances des techniques de la relation client. 
Vous maîtrisez l’outil informatique (logiciels bureautiques usuels, applications métiers) et portez un intérêt pour le milieu associatif nantais. 
Doté·e d’un esprit d’initiative et de capacités d’analyse, vous savez organiser votre travail et gérer les urgences et priorités. 
Reconnu·e pour vos qualités relationnelles et votre goût du travail en équipe, vous savez répondre à des sollicitations multiples et variées et faites preuve d’adaptabilité et de réactivité dans l’exercice de vos fonctions. 
Vous êtes titulaire du permis B.Votre lieu de travail est situé au sein des locaux de la DAEELE – 6, impasse Louis Momesson à Nantes.
Connaissances professionnelles en logistique, gestion de stocks, inventaire.
Expérience en matière de manutention et manipulation de charges
Expériences ou formation en entretien des espaces verts"
1720689694-19,Conseiller Marchés H/F,Conseiller Marchés H/F,Réf. : 2024-9921,Conseiller Marchés H/F,"Rattaché·e au responsable du service marchés publics, vous conseillez et accompagnez juridiquement l’ensemble des directions en matière de commande publique. À ce titre :Vous conseillez au montage contractuel et à la validation juridique des procédures :conseil des directions sur les montages juridiques, marchés complexes et concessions de service.analyse des risques juridiques, économiques et techniques liée à la procédure concernée.collaboration avec le service achat et la mission achat durable de la direction de la commande publique en fonction des dossiers.aide à la rédaction et propositions de clauses adéquates.validation juridique des décisions liées à la passation des contrats et de leurs avenants, le cas échéant.validation juridique des DCE rédigés par les cellules de gestion et mise en cohérence avec le SPAR (hors offre standard).assistance en phase d’analyse des offres.validation juridique des analyses (candidatures et/ou offres) et de l’attributaire du contrat (RAO) le cas échéant, avant passage en commission d’appel d’offres (hors offre standard).validation juridique des avenants liés à ces procédures le cas échéant, avant passage en commission d’appel d’offres (hors offre standard).présence et assistance en commission d’appel d’offres et en jury de concours.Vous suivez l’ensemble des contentieux liés à la passation ou à l’exécution du contrat :accompagnement des directions dans les différents contentieux (pré- contentieux ou contentieux.suivi du contentieux et accompagnement avec les avocats, le cas échéant.Vous participez à l’élaboration de la doctrine du service :proposition de point de doctrine / capitalisation.veille et analyse juridique : rédaction de note sur une problématique ciblée, écriture de guide.Vous participez et gérez des actions de formations internes.",Compétences et/ou expériences attenduesFormation initiale en droit publicMaîtrise du droit de la commande publiqueConnaissance des pratiques achats et développement durableQualité rédactionnelle et capacité d’analyse et de synthèseBon relationnel avec les opérateurs économiques : aide à la réponse et pédagogie
1720689694-154,Technicien réseaux assainissement H/F,Technicien réseaux assainissement H/F,Réf. : 2024-10428,Technicien réseaux assainissement H/F,"Sous l'autorité de la responsable de l'unité assainissement, vous avez en charge l'instruction des Autorisations Droit des Sols (ADS) sur le volet assainissement, le suivi de travaux, la conduite d'opérations de rénovation et de maîtrise d’œuvre d'extension de réseaux, le contrôle des prestations d'opérateurs et le suivi des relations aux usagers. A ce titre, vos activités principales sont les suivantes : - Instruction du volet assainissement des demandes d'ADS et contrôle des prescriptions liées aux ADS - Programmation et réalisation des travaux d’assainissement : participation à la préparation des opérations d’assainissement relatives aux aménagements d'espace public et de la rénovation de voirie (estimation, pièces graphiques, suivi de travaux), contrôle de la maîtrise d’œuvre externe  
 - Suivi des relations usagers sur les questions relatives à l'assainissement eaux usées et eaux pluviales 
 - Contrôle des prestations des opérateurs d’assainissement, notamment les opérations de maintenance et d'entretien des réseaux (curage, réalisation de branchements neufs, renouvellement des équipements)","Vous possédez des connaissances techniques en assainissement et Voirie Réseaux Divers. Vous maîtrisez les logiciels bureautiques usuels et vous avez des notions en DAO. Vous disposez d'un socle de connaissances des règles budgétaires et de la commande publique. Doté.e d'excellentes qualités relationnelles, vous appréciez le travail en équipe et en transversalité et vous êtes en capacité de conduire des réunions. Vous savez faire preuve de rigueur, d’autonomie, d’initiative, d’analyse et de synthèse. Vous êtes titulaire du permis B"
1720689714-20,Gestionnaire comptable H/F,Gestionnaire comptable H/F,Réf. : 2024-9659,Gestionnaire comptable H/F,"Dans une organisation comptable déconcentrée, sous l'autorité de la responsable du pôle Dépenses de la comptabilité et en étroite collaboration avec le chargé d’unité, vous contrôlez et validez l'ensemble des pièces comptables nécessaires à la réalisation des actions de la ville de Nantes et Nantes Métropole. Vous contrôlez les factures ou décomptes, mandatez ou titrez :- Contrôle des engagements, facturations, liquidations et validation des propositions de mandatement- Consolidation des pièces justificatives- Traitement des rejets (internes et externes),- Suivi des propositions en instance.","Vous détenez de bonnes connaissances financières et comptables en matière de Finances publiques, de procédures comptables (nomenclatures M57, M43 et M4) et budgétaires ainsi que de Commande publique (partie exécution). En plus de la connaissance de la chaîne comptable, vous êtes en capacité d'assurer l'exécution comptable des marchés.En plus d'une bonne maîtrise de la suite bureautique Microsoft Office ou LibreOffice, la connaissance du logiciel comptable et financier Coriolis est appréciée.Vous détenez des qualités relationnelles qui vous permettent de travailler en équipe et êtes reconnu·e pour votre rigueur et votre sens de l’organisation.Ce poste vous intéresse, rejoignez-nous!"
1720689714-155,Agent de nettoiement H/F,Agent de nettoiement H/F,Réf. : 2024-10453,Agent de nettoiement H/F,"Assurer le nettoiement des voies, des espaces publics et du mobilier urbain sur le territoire du pôle Loire Chézine (Saint-Herblain, Indre et Couëron):- Balayage, lavage, désherbage des rues (trottoirs et caniveaux), places, ramassage des feuilles, nettoyage des abords des marchés et toute tâche contribuant à la propreté de l’espace public
- Nettoyage des sanitaires publics, du mobilier urbain, le vidage des corbeilles et toute tâche contribuant à la propreté des mobiliers et installations sur l’espace public
- Nettoyage des abords de points Tri et enlèvement des dépôts sauvages
- Approvisionnement des distributeurs de sacs canins
- Conduite de différents engins de nettoiement motorisés : mini aspiratrice, fourgonnette pick-up, fourgons ou à titre accessoire balayeuse PL…
- Salage ou sablage des trottoirs en cas de verglas ou d’enneigement
- Rôle d’alerte et d’information sur l’état de propreté du secteur d’intervention et remontée de toute anomalie constatéeLieu de travail : Centre technique Léon Ignasiak_Saint-Herblain","Vous avez les connaissances et l'expérience dans des métiers de la propretéVous avez la connaissance des techniques de nettoyage de l’espace publicVous avez le Permis BVous avez la connaissance des règles hygiène & sécurité et de la signalisation temporaire de chantierVous avez les aptitudes pour le travail en équipeVous avez le sens du contact avec le public : Répondre aux questions et interrogations des usagers et intervention en cas d’incivilité constatée Vous avez la capacité à appliquer et respecter les consignes de sécurité et les objectifs fixés par le référentiel nettoiement Vous avez la motivation pour assurer une propreté des espaces publics de qualité, et travail en extérieur Le poste vous intéresse, rejoignez-nous !"
1720689734-21,Je recherche un stage H/F,Je recherche un stage H/F,Réf. : 2023-7408,Je recherche un stage H/F,"Venez découvrir nos métiers !

Quelques exemples...:

Ville de Nantes :
Écoles (agent d'entretien et de restauration, ATSEM) ; 
Crèches (éducateur·ice de jeunes enfants, auxiliaire de puériculture) ;
Infrastructures sportives : piscine, gymnases communaux (éducateur·ice sportif·ve, concierge...) ;
Services de l'état civil (responsable des livrets de famille, carte d'identité, passeport...) ;
Et bien d'autres encore...
Nantes Métropole : 
Nature et jardins (jardinier, paysagiste, gardien·ne...) ;
Finance et administratif (comptable, gestionnaire RH, gestionnaire marchés publics, informaticien·ne...) ;
Eau et assainissement (technicien·ne, agent de maintenance, égoutier·e) ;
Maintenance, voirie et gestion des déchets (nettoiement, conducteur·e de poids lourds, rippeurs...) ;
Et bien d'autres encore...
CCAS : 
EHPAD (agent social·e, infirmièr·e, aide-soignant·e...) ;
Services sociaux des usagers (assistant·e social·e, éducateur·ice spécialisé·e...) ; 
Et bien d'autres encore... 
N'oubliez pas, en postulant, de nous préciser votre souhait de service d'accueil, vos dates de stage, votre établissement ou organisme ainsi que votre diplôme préparé... (le cas échéant).","Vous êtes collègien·ne, lycéen·ne, étudiant·e, en reconversion professionnelle...et vous êtes à la recherche d’un stage ?

Alors, n’hésitez plus et transmettez-nous votre demande de stage via l’onglet « Je postule à cette offre » en nous adressant CV, lettre de motivation ainsi que votre convention de stage au format PDF. 
Rejoignez-nous ! 
 
*Un délai de traitement de huit semaines minimum entre la demande de stage et l’accueil en stage est nécessaire pour les formalités administratives."
1720689734-156,Technicien.ienne reseaux et télécoms H/F,Technicien.ienne reseaux et télécoms H/F,Réf. : 2024-10392,Technicien.ienne reseaux et télécoms H/F,"Au sein de la direction des infrastructures et services, sous l'autorité du responsable de l'unité réseaux et télécoms, vous assurez le déploiement et le maintien en conditions opérationnelles des infrastructures réseaux et télécoms.  A ce titre vos activités sont les suivantes :- Réaliser les implantations réseaux et télécoms en respectant les règles d’organisation, de sécurisation et d’intégration des matériels et câblages- Participer à l’administration de l’infrastructure réseau et télécoms (Routeurs, commutateurs, contrôleurs, firewall,etc)
- Gérer les évolutions des firmwares et correctifs de sécurité afin de garantir le maintien en conditions opérationnelles de l’infrastructure
- Gérer les interventions de niveau 2 et 3 de son domaine de responsabilité - Participer à l’élaboration des règles de renouvellement des matériels installés- Piloter et coordonner des projets techniques réseaux et télécoms
- Exercer une veille technologique dans son domaine de compétence- Enrichir la base documentaire Permis B souhaité dans le cadre de déplacements à prévoir.","De formation supérieure dans le domaine réseaux et télécommunication / informatique, vous disposez d'une connaissance globale des systèmes d'information, de connaissances techniques des équipements réseaux et télécoms ainsi que des protocoles réseau et des outils d’administration.Vous êtes en capacité de mobiliser les connaissances ou l'expertise nécessaire à la résolution d'un problème et savez gérer les urgences.Vous disposez d'un sens de l'écoute et faites preuve de rigueur et d'organisation dans l'exercice de vos missions.Enfin, vos qualités de rédaction et de synthèse sont des atouts dans l'exercice de vos fonctions."
1720689754-22,Éducateur jeunes enfants H/F,Éducateur jeunes enfants H/F,Réf. : 2024-9244,Éducateur jeunes enfants H/F,"Pour répondre à ses besoins, la Direction de la Petite Enfance recherche des EJE (éducateur jeunes enfants) pour assurer des remplacements dans les 21 crèches municipales.
Selon le besoin, l'EJE exerce des fonctions de responsable d'unité (EJE-RU) ou des fonctions de direction et des fonctions éducatives (EJE responsable délégué et d'unité RDRU).
 L'EJE responsable d'unité (EJE-RU) a pour mission : 
Encadrer une unité d'accueil et conduire les actions éducatives en cohérence avec le projet éducatif et social et dans le respect du cadre réglementaire.Accueillir l’enfant de manière individualisée en respectant son développement et son rythme.Accompagner les familles et professionnaliser l’équipe sur la parentalité.Accompagner et soutenir l’équipe dans l’ajustement de ses pratiques éducatives et veiller à l’encadrement des stagiaires présents au sein de l’unité. Assurer le management opérationnel d'une unité d'accueil. Partiellement détaché, il/ elle assure des fonctions de direction et des fonctions éducatives.Informations complémentaires :Travail en semaine du lundi au vendrediPoste à 100% ou ouvert au temps partielHoraires de travail : 7h30 par jour avec une pause méridienne de 45 minHoraires des crèches (amplitude): 7h30 à 18h30Droit à tickets restaurantPrime de service public au prorata du temps de présence et de la quotité de travailPossibilité de faire des remplacements pendant 24 mois.","Diplôme d'EJE à joindre à la candidatureMaîtrise du cadre juridique applicable aux établissements d'accueil du jeune enfantCapacité à animer des réunions et groupes de travail internesPrise en charge personnalisée des jeunes enfants et gestion de groupesPositionnement éducatif et managérial, prise de décisions, régulation et gestion de conflitsCapacité relationnelleRéactivité et capacité d’adaptation"
1720689754-157,Agent d'enlèvement cartons H/F,Agent d'enlèvement cartons H/F,Réf. : 2024-10411,Agent d'enlèvement cartons H/F,"Sous la responsabilité du chef d’équipe, vous assurez l’enlèvement des cartons des commerçants du centre ville.
 
 A ce titre, vous réaliser les missions suivantes :
 - accueillir les commerçants aux points de RDV fixés et donner des explications sur cette prestation de service
 - assurer la récupération des cartons et les stocker à l’intérieur du véhicule
 - identifier les commerçants et estimer les volumes collectés
 - récupérer des bidons de mégots, identifier les commerçants et les remplacer par des bidons vides
 - vider les déchets selon les procédures établies
 - occasionnellement, saler, sabler les trottoirs en cas de verglas ou enneigement ou participer à tout autre activité de nettoiement en cas de nécessité de service.
 
 L’ensemble de ces activités s’inscrit dans la démarche de certification nettoiement engagée par Nantes Métropole et à ce titre, vous participez activement à la remontée des dysfonctionnements rencontrés sur l’espace public et à la relation quotidienne avec l’usager sur le terrain.
 
 Sujétions spécifiques :
 - port de charges lourdes et volumineuses
 - mouvements répétitifs
 - station debout prolongée
 - conduite d’un véhicule volumineux en milieu urbain.
 
 
 Lieu de travail : Centre technique Félix Eboué - Rezé
 
 Horaires : cycle de 2 semaines de 9h à 13h et de 14h30 à 20h30 (1 semaine de 4 jours du mardi au vendredi et 1 semaine de 3 jours entre le mardi et vendredi dont 1 jour non travaillé fixé).","Vous disposez d’une connaissance et expérience dans les métiers du nettoiement.
Vous avez la pratique des techniques de nettoyage de l’espace public.
Vous êtes particulièrement vigilant sur le respect des règles d’hygiène et de sécurité et de la signalétique temporaire de chantier.
Outre vos qualités relationnelles, vous avez le sens du travail en équipe et du contact avec le public. Permis B obligatoire et C apprécié."
